User_Id,Location,Age,Username,Email,Password
1,"Semarang, Jawa Tengah",20,mike4003,mike4003@gmail.com,|%UZYpTJ
2,"Bekasi, Jawa Barat",21,alex7564,alex7564@gmail.com,|.m&)}7P
3,"Cirebon, Jawa Barat",23,mike7892,mike7892@gmail.com,-JsH0~_T
4,"Bekasi, Jawa Barat",21,sarah6735,sarah6735@gmail.com,"q7X3ofZ"""
5,"Lampung, Sumatera Selatan",20,kevin1787,kevin1787@gmail.com,0U!bacPO
6,"Jakarta Utara, DKI Jakarta",18,betty7200,betty7200@gmail.com,",OZD@I~J"
7,"Jakarta Selatan, DKI Jakarta",39,sarah4230,sarah4230@gmail.com,"iuG`upz"""
8,"Bandung, Jawa Barat",40,susan8490,susan8490@gmail.com,".~rJg[""y"
9,"Surabaya, Jawa Timur",38,amy6881,amy6881@gmail.com,0CLS.*3'
10,"Bekasi, Jawa Barat",39,sarah7600,sarah7600@gmail.com,TNXx$*ZZ
11,"Yogyakarta, DIY",20,kevin2230,kevin2230@gmail.com,n7HvG&0i
12,"Bogor, Jawa Barat",37,mike3275,mike3275@gmail.com,'s[J0Mp%
13,"Depok, Jawa Barat",18,paul4581,paul4581@gmail.com,63}GNzR2
14,"Jakarta Pusat, DKI Jakarta",26,robert2351,robert2351@gmail.com,"_OipqzR,"
15,"Jakarta Timur, DKI Jakarta",34,alex6122,alex6122@gmail.com,:9(\>esx
16,"Bekasi, Jawa Barat",40,betty2100,betty2100@gmail.com,t2e]QldA
17,"Semarang, Jawa Tengah",31,john6955,john6955@gmail.com,QMT+lbkR
18,"Yogyakarta, DIY",39,sarah3236,sarah3236@gmail.com,RPjE)|bC
19,"Cirebon, Jawa Barat",26,mike6447,mike6447@gmail.com,xNky|Z._
20,"Lampung, Sumatera Selatan",30,linda5245,linda5245@gmail.com,ArL+d_09
21,"Semarang, Jawa Tengah",30,john8754,john8754@gmail.com,VAu@b'H}
22,"Subang, Jawa Barat",25,kevin5983,kevin5983@gmail.com,2^&I-v4{
23,"Jakarta Barat, DKI Jakarta",37,robert6471,robert6471@gmail.com,{PSbT%2p
24,"Bekasi, Jawa Barat",36,kevin3260,kevin3260@gmail.com,=0U^~30z
25,"Lampung, Sumatera Selatan",40,amy3482,amy3482@gmail.com,3o[%Z%s;
26,"Palembang, Sumatera Selatan",38,linda3703,linda3703@gmail.com,r$lz=L1J
27,"Bogor, Jawa Barat",22,susan9381,susan9381@gmail.com,c*^~8>JD
28,"Sragen, Jawa Tengah",38,robert8375,robert8375@gmail.com,Bky;!)TU
29,"Ponorogo, Jawa Timur",34,hamid6487,hamid6487@gmail.com,iO8i{nh<
30,"Depok, Jawa Barat",30,steve9336,steve9336@gmail.com,ikDSgWr]
31,"Jakarta Selatan, DKI Jakarta",26,betty6870,betty6870@gmail.com,1aq1ar^:
32,"Bekasi, Jawa Barat",34,karen1252,karen1252@gmail.com,VY%9u1h9
33,"Ponorogo, Jawa Timur",24,levina1675,levina1675@gmail.com,[k;VQ#rp
34,"Sragen, Jawa Tengah",31,linda6087,linda6087@gmail.com,JTl2E/x6
35,"Klaten, Jawa Tengah",24,susan3106,susan3106@gmail.com,"?\rv'vm"""
36,"Solo, Jawa Tengah",20,paul5316,paul5316@gmail.com,@j4u>M}3
37,"Tanggerang, Banten",21,levina7650,levina7650@gmail.com,fd>msWrf
38,"Serang, Banten",26,laura6961,laura6961@gmail.com,sPTWa:<(
39,"Cilacap, Jawa Tengah",32,kevin5664,kevin5664@gmail.com,CX]OlzF=
40,"Semarang, Jawa Tengah",27,jane9499,jane9499@gmail.com,D>Vn9#w<
41,"Yogyakarta, DIY",24,david3125,david3125@gmail.com,"4,McZ""`f"
42,"Kota Gede, DIY",37,alex8388,alex8388@gmail.com,",V.IH-L+"
43,"Cirebon, Jawa Barat",33,betty6188,betty6188@gmail.com,"@v9MjmK,"
44,"Subang, Jawa Barat",21,laura2687,laura2687@gmail.com,!PN|TRer
45,"Karawang, Jawa Barat",25,steve4547,steve4547@gmail.com,:n)+rlDa
46,"Purwakarat, Jawa Barat",38,john1612,john1612@gmail.com,#;q+sBJ6
47,"Jakarta Utara, DKI Jakarta",31,sarah3361,sarah3361@gmail.com,j}OF^]dL
48,"Jakarta Selatan, DKI Jakarta",35,kevin4698,kevin4698@gmail.com,|4'Ji%Xe
49,"Jakarta Pusat, DKI Jakarta",24,jane7574,jane7574@gmail.com,`<}5m2`o
50,"Bekasi, Jawa Barat",19,paul2602,paul2602@gmail.com,iB&s[~b>
51,"Bogor, Jawa Barat",29,susan1830,susan1830@gmail.com,_5USGgCT
52,"Karawang, Jawa Barat",18,rangga6916,rangga6916@gmail.com,Li-2ifPi
53,"Subang, Jawa Barat",28,linda5653,linda5653@gmail.com,;fd8jQ_w
54,"Serang, Banten",31,paul8100,paul8100@gmail.com,bwhWG?g+
55,"Tanggerang, Banten",19,amy7575,amy7575@gmail.com,4JKdo*iY
56,"Kota Gede, DIY",18,hamid8418,hamid8418@gmail.com,[FY~tn~Z
57,"Yogyakarta, DIY",21,jane5135,jane5135@gmail.com,TW=^ijR@
58,"Lampung, Sumatera Selatan",21,amy7061,amy7061@gmail.com,"*"";>msR!"
59,"Ponorogo, Jawa Timur",26,sarah3774,sarah3774@gmail.com,"Cf|0u{|"""
60,"Surabaya, Jawa Timur",25,susan1934,susan1934@gmail.com,hGt%Oo!~
61,"Nganjuk, Jawa Timur",23,laura3058,laura3058@gmail.com,Se~]>2{h
62,"Madura, Jawa Timur",36,jane9548,jane9548@gmail.com,"c/i,xU~u"
63,"Semarang, Jawa Tengah",35,susan7898,susan7898@gmail.com,7W{wDo88
64,"Bandung, Jawa Barat",38,john5258,john5258@gmail.com,^H):n(D$
65,"Yogyakarta, DIY",22,susan7865,susan7865@gmail.com,Iv=x603$
66,"Bekasi, Jawa Barat",33,linda3193,linda3193@gmail.com,"<N5FF!,<"
67,"Surabaya, Jawa Timur",25,paul2245,paul2245@gmail.com,Hqd9>OLV
68,"Kota Gede, DIY",37,john6612,john6612@gmail.com,Z.fa!o-F
69,"Bekasi, Jawa Barat",24,robert6181,robert6181@gmail.com,p;%/By4Y
70,"Bogor, Jawa Barat",21,levina7488,levina7488@gmail.com,QW::up7B
71,"Depok, Jawa Barat",39,david4649,david4649@gmail.com,6C@6zo@M
72,"Tanggerang, Banten",19,steve4426,steve4426@gmail.com,43LS`/Y]
73,"Serang, Banten",29,steve4887,steve4887@gmail.com,YQ_Hm6C)
74,"Semarang, Jawa Tengah",30,hamid6099,hamid6099@gmail.com,e~;<JYEu
75,"Bekasi, Jawa Barat",19,mike4045,mike4045@gmail.com,$SYO9y}d
76,"Cirebon, Jawa Barat",19,linda6380,linda6380@gmail.com,Ripl.Br(
