User_Id,Location,Age,Username,Email,Password
1,"Semarang, Jawa Tengah",20,karen2890,karen2890@gmail.com,WXJW`*D?
2,"Bekasi, Jawa Barat",21,levina1236,levina1236@gmail.com,&pV$/f&1
3,"Cirebon, Jawa Barat",23,robert8373,robert8373@gmail.com,Om{o_#S+
4,"Bekasi, Jawa Barat",21,alex9337,alex9337@gmail.com,8x&F=D!~
5,"Lampung, Sumatera Selatan",20,steve7772,steve7772@gmail.com,lX4Y-$iZ
6,"Jakarta Utara, DKI Jakarta",18,levina8967,levina8967@gmail.com,jR`Y=i^D
7,"Jakarta Selatan, DKI Jakarta",39,susan1830,susan1830@gmail.com,",D(J%j*e"
8,"Bandung, Jawa Barat",40,laura9415,laura9415@gmail.com,B`(Xb#e=
9,"Surabaya, Jawa Timur",38,susan6150,susan6150@gmail.com,~(jp-|hs
10,"Bekasi, Jawa Barat",39,levina3574,levina3574@gmail.com,"%?N?""<cb"
11,"Yogyakarta, DIY",20,levina3446,levina3446@gmail.com,x4^)kQX@
12,"Bogor, Jawa Barat",37,levina5308,levina5308@gmail.com,JI>.s}?I
13,"Depok, Jawa Barat",18,susan4951,susan4951@gmail.com,02<SHGgV
14,"Jakarta Pusat, DKI Jakarta",26,amy1775,amy1775@gmail.com,\H0'^f7j
15,"Jakarta Timur, DKI Jakarta",34,jane9262,jane9262@gmail.com,.$;ccOdJ
16,"Bekasi, Jawa Barat",40,john6091,john6091@gmail.com,"(k;,I.l|"
17,"Semarang, Jawa Tengah",31,paul4304,paul4304@gmail.com,=Bd5g.cY
18,"Yogyakarta, DIY",39,david3427,david3427@gmail.com,XY.);(bl
19,"Cirebon, Jawa Barat",26,laura7138,laura7138@gmail.com,:G~[=t>'
20,"Lampung, Sumatera Selatan",30,paul1805,paul1805@gmail.com,X%Y{eC33
21,"Semarang, Jawa Tengah",30,laura1813,laura1813@gmail.com,6M128?cd
22,"Subang, Jawa Barat",25,paul4389,paul4389@gmail.com,\pwhuhO\
23,"Jakarta Barat, DKI Jakarta",37,alex9550,alex9550@gmail.com,KIn6ccKo
24,"Bekasi, Jawa Barat",36,amy1826,amy1826@gmail.com,"`E2z""w`^"
25,"Lampung, Sumatera Selatan",40,rangga9936,rangga9936@gmail.com,_]nyZ|B/
26,"Palembang, Sumatera Selatan",38,betty2864,betty2864@gmail.com,(W^Y;B]q
27,"Bogor, Jawa Barat",22,rangga6821,rangga6821@gmail.com,qWBo^.Bg
28,"Sragen, Jawa Tengah",38,levina5356,levina5356@gmail.com,Eo4<Ch+}
29,"Ponorogo, Jawa Timur",34,levina9723,levina9723@gmail.com,qHc8w;WQ
30,"Depok, Jawa Barat",30,rangga1500,rangga1500@gmail.com,t2mW`rq9
31,"Jakarta Selatan, DKI Jakarta",26,david5194,david5194@gmail.com,@!`(SRc8
32,"Bekasi, Jawa Barat",34,paul1416,paul1416@gmail.com,RU`|/0c7
33,"Ponorogo, Jawa Timur",24,linda3313,linda3313@gmail.com,#$v~']LO
34,"Sragen, Jawa Tengah",31,robert6241,robert6241@gmail.com,yxI0FpL+
35,"Klaten, Jawa Tengah",24,john2503,john2503@gmail.com,tPY@:+}z
36,"Solo, Jawa Tengah",20,david1960,david1960@gmail.com,7eM/e@yH
