User_Id,Location,Age,Username,Email,Password
1,"Semarang, Jawa Tengah",20,betty2631,betty2631@gmail.com,8(-9~3z{
2,"Bekasi, Jawa Barat",21,robert8202,robert8202@gmail.com,Nc3NkDRO
3,"Cirebon, Jawa Barat",23,linda1311,linda1311@gmail.com,WdM81f;}
4,"Bekasi, Jawa Barat",21,jane7052,jane7052@gmail.com,E:VzF}!C
5,"Lampung, Sumatera Selatan",20,susan9844,susan9844@gmail.com,B3Vd0K=r
6,"Jakarta Utara, DKI Jakarta",18,amy4842,amy4842@gmail.com,x\;8&Rb)
7,"Jakarta Selatan, DKI Jakarta",39,karen2310,karen2310@gmail.com,+XD_3[b)
8,"Bandung, Jawa Barat",40,susan3731,susan3731@gmail.com,"+IB,C[*+"
9,"Surabaya, Jawa Timur",38,rangga6255,rangga6255@gmail.com,WAzmrw6R
10,"Bekasi, Jawa Barat",39,steve1107,steve1107@gmail.com,j)F{`|Zi
11,"Yogyakarta, DIY",20,alex5437,alex5437@gmail.com,d:`cYet#
12,"Bogor, Jawa Barat",37,susan3990,susan3990@gmail.com,#Xwxo0L$
13,"Depok, Jawa Barat",18,david1216,david1216@gmail.com,3:Ls%p`=
14,"Jakarta Pusat, DKI Jakarta",26,rangga4519,rangga4519@gmail.com,<k-\Gkr`
15,"Jakarta Timur, DKI Jakarta",34,levina7968,levina7968@gmail.com,tr:R-klx
16,"Bekasi, Jawa Barat",40,kevin6646,kevin6646@gmail.com,k&lF6eZ:
17,"Semarang, Jawa Tengah",31,paul6007,paul6007@gmail.com,QIhl>k<r
18,"Yogyakarta, DIY",39,betty2354,betty2354@gmail.com,(v!Y\9K=
19,"Cirebon, Jawa Barat",26,linda9830,linda9830@gmail.com,tl<lw|aO
20,"Lampung, Sumatera Selatan",30,rangga6473,rangga6473@gmail.com,}NlgzQ<r
21,"Semarang, Jawa Tengah",30,hamid9854,hamid9854@gmail.com,$J3;}3Gz
22,"Subang, Jawa Barat",25,kevin1879,kevin1879@gmail.com,+GL0>@kj
23,"Jakarta Barat, DKI Jakarta",37,steve2090,steve2090@gmail.com,~ylYM6%+
24,"Bekasi, Jawa Barat",36,karen1125,karen1125@gmail.com,7?}C>/j&
25,"Lampung, Sumatera Selatan",40,rangga6362,rangga6362@gmail.com,MMB8\Oih
26,"Palembang, Sumatera Selatan",38,kevin3026,kevin3026@gmail.com,'[kdZP.+
27,"Bogor, Jawa Barat",22,linda9344,linda9344@gmail.com,8%Lbrm&i
28,"Sragen, Jawa Tengah",38,kevin7821,kevin7821@gmail.com,>~m>aMeM
29,"Ponorogo, Jawa Timur",34,amy1048,amy1048@gmail.com,"M\nj\""g="
30,"Depok, Jawa Barat",30,paul2709,paul2709@gmail.com,a>-Uz10+
31,"Jakarta Selatan, DKI Jakarta",26,hamid5924,hamid5924@gmail.com,"N[X""r,dW"
32,"Bekasi, Jawa Barat",34,rangga7905,rangga7905@gmail.com,"d@F,ynP2"
33,"Ponorogo, Jawa Timur",24,hamid4012,hamid4012@gmail.com,@!Gb]!$p
34,"Sragen, Jawa Tengah",31,sarah2652,sarah2652@gmail.com,>{}9NkA?
35,"Klaten, Jawa Tengah",24,jane3411,jane3411@gmail.com,<XnJ#enP
36,"Solo, Jawa Tengah",20,jane9661,jane9661@gmail.com,q`-(q/h(
